Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
12/31/2021,39121,52,Noble County,OH,98.7,6321,43.8,6320,46.1,6255,49.5,6028,51.4,1935,47.4,5985,41.5,5985,43.7,,,5941,47,5735,48.9,1880,46.1,2427,40.6,,,,,2421,42.2,1931,53.2,1196,63.6,,,,,B,7,7,,7,7,6,Non-metro,7,7,,7,7,6,,,,,,,,,14424,13705,,12628,11732,4080,,,,,,,,
12/31/2021,51005,52,Alleghany County,VA,80.6,7006,47.1,7002,49.3,6982,53,6752,55.6,2679,70.8,5797,39,5796,40.8,,,5783,43.9,5616,46.2,2298,60.7,281,4.8,,,,,281,5,234,5.9,156,6.8,,,,,B,6,7,,7,7,7,Non-metro,6,7,,7,7,7,,,,,,,,,14860,14210,,13176,12146,3785,,,,,,,,
12/31/2021,37005,52,Alleghany County,NC,97.2,8509,76.4,8508,80.1,8409,84.8,8176,88.4,3375,95,6278,56.4,6277,59.1,,,6228,62.8,6077,65.7,2443,78.4,1490,23.7,,,,,1487,24.5,1253,31,881,36.1,,,,,C,12,12,,12,12,12,Non-metro,8,8,,8,8,8,,,,,,,,,11137,10626,,9915,9249,3116,,,,,,,,
12/31/2021,72077,52,Juncos Municipio,PR,95.9,29710,77.9,29703,81.2,28497,83.7,25924,84.8,6201,95,26563,69.6,26561,72.6,,,25755,75.7,23432,76.6,5621,88.3,6173,23.2,,,,,6132,26.2,3895,34.7,2178,38.7,,,,,C,12,12,,12,12,12,Metro,4,4,,4,4,4,,,,,,,,,38155,36582,,34029,30585,6363,,,,,,,,
12/31/2021,19137,52,Montgomery County,IA,97.4,5907,59.6,5907,63.5,5842,68.9,5542,72.2,2134,95,5326,53.7,5326,57.3,,,5285,62.3,5040,65.6,1980,92.2,2378,44.6,,,,,2372,47.1,2029,58.3,1375,69.4,,,,,C,12,12,,12,12,12,Non-metro,8,8,,8,8,8,,,,,,,,,9917,9303,,8484,7681,2147,,,,,,,,
12/31/2021,56005,52,Campbell County,WY,96.5,15624,33.7,15624,36.3,15460,40.7,14781,43.8,4097,82.5,12930,27.9,12930,30.1,,,12859,33.9,12348,36.6,3500,70.4,3648,28.2,,,,,3636,29.4,2892,39.5,1787,51.1,,,,,B,5,6,,6,6,8,Non-metro,5,6,,6,6,8,,,,,,,,,46341,42993,,37946,33768,4969,,,,,,,,
12/31/2021,19131,52,Mitchell County,IA,97.4,5286,49.9,5286,53.1,5195,57.9,4921,60.9,1940,85.7,4999,47.2,4999,50.2,,,4932,55,4679,57.9,1869,82.5,2616,52.3,,,,,2611,55.8,2169,66.6,1427,76.4,,,,,A,3,4,,4,4,4,Non-metro,7,8,,8,8,8,,,,,,,,,10586,9959,,8975,8077,2265,,,,,,,,
12/31/2021,45089,52,Williamsburg County,SC,93.9,18594,61.2,18592,64.5,18396,69.5,17519,72.5,5741,86.9,16386,54,16385,56.9,,,16279,61.5,15518,64.2,5104,77.3,4737,28.9,,,,,4730,30.5,3931,40.4,2520,49.4,,,,,D,16,16,,16,16,16,Non-metro,8,8,,8,8,8,,,,,,,,,30368,28813,,26471,24171,6604,,,,,,,,
12/31/2021,40021,52,Cherokee County,OK,94,29689,61,29688,64.6,29130,69.9,27352,71.8,7798,94.4,21731,44.7,21731,47.3,,,21387,51.3,20044,52.6,5824,70.5,7183,33.1,,,,,7141,35.6,5263,47.7,3277,56.3,,,,,D,15,15,,16,16,16,Non-metro,7,7,,8,8,8,,,,,,,,,48657,45936,,41703,38112,8264,,,,,,,,
12/31/2021,01071,52,Jackson County,AL,92.7,29127,56.4,29123,59.6,28881,64.4,27823,68,10334,95,23899,46.3,23899,48.9,,,23779,53.1,22947,56,8801,83.1,7170,30,,,,,7161,31.2,6209,39.7,4277,48.6,,,,,C,11,11,,12,12,12,Non-metro,7,7,,8,8,8,,,,,,,,,51626,48849,,44815,40943,10591,,,,,,,,
12/31/2021,02070,52,Dillingham Census Area,AK,96.7,2679,54.5,2677,60.3,2529,66.6,2245,66.6,386,78.1,2337,47.5,2337,52.6,,,2265,59.6,2004,59.4,349,70.6,884,37.8,,,,,871,43.5,563,61.8,263,75.4,,,,,D,15,16,,16,16,16,Non-metro,7,8,,8,8,8,,,,,,,,,4916,4441,,3798,3371,494,,,,,,,,
